customer_id,customer_name,region
1,Customer 00001,Southwest
2,Customer 00002,Midwest
3,Customer 00003,West
4,Customer 00004,Southwest
5,Customer 00005,Northeast
6,Customer 00006,West
7,Customer 00007,Southwest
8,Customer 00008,West
9,Customer 00009,Northeast
10,Customer 00010,Midwest
11,Customer 00011,Southeast
12,Customer 00012,West
13,Customer 00013,Southwest
14,Customer 00014,West
15,Customer 00015,Midwest
16,Customer 00016,Southeast
17,Customer 00017,Midwest
18,Customer 00018,Northeast
19,Customer 00019,West
20,Customer 00020,Southwest
21,Customer 00021,Southwest
22,Customer 00022,Southeast
23,Customer 00023,West
24,Customer 00024,West
25,Customer 00025,Southwest
26,Customer 00026,Southeast
27,Customer 00027,Midwest
28,Customer 00028,Northeast
29,Customer 00029,Northeast
30,Customer 00030,Southwest
31,Customer 00031,Southwest
32,Customer 00032,West
33,Customer 00033,Southeast
34,Customer 00034,Southeast
35,Customer 00035,Midwest
36,Customer 00036,Southeast
37,Customer 00037,Northeast
38,Customer 00038,Midwest
39,Customer 00039,Southeast
40,Customer 00040,Southwest
41,Customer 00041,Midwest
42,Customer 00042,West
43,Customer 00043,Southwest
44,Customer 00044,Southeast
45,Customer 00045,West
46,Customer 00046,West
47,Customer 00047,Southeast
48,Customer 00048,Southeast
49,Customer 00049,Southwest
50,Customer 00050,Northeast
51,Customer 00051,Southeast
52,Customer 00052,Northeast
53,Customer 00053,West
54,Customer 00054,Southwest
55,Customer 00055,Southwest
56,Customer 00056,West
57,Customer 00057,Midwest
58,Customer 00058,Midwest
59,Customer 00059,Northeast
60,Customer 00060,Northeast
61,Customer 00061,Southwest
62,Customer 00062,Midwest
63,Customer 00063,Midwest
64,Customer 00064,Southwest
65,Customer 00065,Southwest
66,Customer 00066,Midwest
67,Customer 00067,Midwest
68,Customer 00068,Southeast
69,Customer 00069,Northeast
70,Customer 00070,Midwest
71,Customer 00071,Southeast
72,Customer 00072,Midwest
73,Customer 00073,West
74,Customer 00074,Southeast
75,Customer 00075,Northeast
76,Customer 00076,Southeast
77,Customer 00077,Southeast
78,Customer 00078,Southwest
79,Customer 00079,Midwest
80,Customer 00080,West
81,Customer 00081,Southwest
82,Customer 00082,Midwest
83,Customer 00083,West
84,Customer 00084,Northeast
85,Customer 00085,Northeast
86,Customer 00086,Northeast
87,Customer 00087,Southwest
88,Customer 00088,Midwest
89,Customer 00089,Northeast
90,Customer 00090,Midwest
91,Customer 00091,Northeast
92,Customer 00092,Southwest
93,Customer 00093,Midwest
94,Customer 00094,Southeast
95,Customer 00095,Southeast
96,Customer 00096,Southwest
97,Customer 00097,Southeast
98,Customer 00098,Northeast
99,Customer 00099,Northeast
100,Customer 00100,West
101,Customer 00101,West
102,Customer 00102,Southwest
103,Customer 00103,Southeast
104,Customer 00104,West
105,Customer 00105,Southwest
106,Customer 00106,Southwest
107,Customer 00107,Midwest
108,Customer 00108,Southeast
109,Customer 00109,Northeast
110,Customer 00110,West
111,Customer 00111,Midwest
112,Customer 00112,Southeast
113,Customer 00113,Southeast
114,Customer 00114,Midwest
115,Customer 00115,Northeast
116,Customer 00116,West
117,Customer 00117,Southwest
118,Customer 00118,Southwest
119,Customer 00119,Midwest
120,Customer 00120,Southwest
121,Customer 00121,Midwest
122,Customer 00122,Southwest
123,Customer 00123,Northeast
124,Customer 00124,Midwest
125,Customer 00125,Northeast
126,Customer 00126,Midwest
127,Customer 00127,Southeast
128,Customer 00128,Northeast
129,Customer 00129,Northeast
130,Customer 00130,Midwest
131,Customer 00131,Northeast
132,Customer 00132,West
133,Customer 00133,Midwest
134,Customer 00134,Southeast
135,Customer 00135,Midwest
136,Customer 00136,Northeast
137,Customer 00137,West
138,Customer 00138,Midwest
139,Customer 00139,West
140,Customer 00140,Northeast
141,Customer 00141,Midwest
142,Customer 00142,Midwest
143,Customer 00143,West
144,Customer 00144,Midwest
145,Customer 00145,Midwest
146,Customer 00146,Southeast
147,Customer 00147,Southeast
148,Customer 00148,Midwest
149,Customer 00149,Midwest
150,Customer 00150,Northeast
151,Customer 00151,West
152,Customer 00152,West
153,Customer 00153,Northeast
154,Customer 00154,Midwest
155,Customer 00155,Northeast
156,Customer 00156,Southwest
157,Customer 00157,Southeast
158,Customer 00158,Southwest
159,Customer 00159,Southwest
160,Customer 00160,Southwest
161,Customer 00161,Northeast
162,Customer 00162,West
163,Customer 00163,Southeast
164,Customer 00164,Northeast
165,Customer 00165,Midwest
166,Customer 00166,Southeast
167,Customer 00167,West
168,Customer 00168,West
169,Customer 00169,Southeast
170,Customer 00170,West
171,Customer 00171,Southeast
172,Customer 00172,Midwest
173,Customer 00173,Southeast
174,Customer 00174,West
175,Customer 00175,Northeast
176,Customer 00176,Northeast
177,Customer 00177,Midwest
178,Customer 00178,West
179,Customer 00179,West
180,Customer 00180,Southwest
181,Customer 00181,West
182,Customer 00182,West
183,Customer 00183,Midwest
184,Customer 00184,Southeast
185,Customer 00185,Southwest
186,Customer 00186,Southwest
187,Customer 00187,Southeast
188,Customer 00188,Northeast
189,Customer 00189,Southwest
190,Customer 00190,Southeast
191,Customer 00191,West
192,Customer 00192,Southeast
193,Customer 00193,Northeast
194,Customer 00194,West
195,Customer 00195,Northeast
196,Customer 00196,Northeast
197,Customer 00197,Midwest
198,Customer 00198,West
199,Customer 00199,Southeast
200,Customer 00200,Southeast
201,Customer 00201,Southwest
202,Customer 00202,West
203,Customer 00203,Midwest
204,Customer 00204,Northeast
205,Customer 00205,Northeast
206,Customer 00206,Southeast
207,Customer 00207,Northeast
208,Customer 00208,Southwest
209,Customer 00209,Northeast
210,Customer 00210,Midwest
211,Customer 00211,Southwest
212,Customer 00212,Midwest
213,Customer 00213,Southeast
214,Customer 00214,West
215,Customer 00215,Southwest
216,Customer 00216,Southwest
217,Customer 00217,Northeast
218,Customer 00218,Northeast
219,Customer 00219,West
220,Customer 00220,Southeast
221,Customer 00221,Southeast
222,Customer 00222,Midwest
223,Customer 00223,Southwest
224,Customer 00224,West
225,Customer 00225,Southeast
226,Customer 00226,West
227,Customer 00227,Northeast
228,Customer 00228,Midwest
229,Customer 00229,Southwest
230,Customer 00230,Northeast
231,Customer 00231,Northeast
232,Customer 00232,Midwest
233,Customer 00233,West
234,Customer 00234,Midwest
235,Customer 00235,West
236,Customer 00236,West
237,Customer 00237,Midwest
238,Customer 00238,West
239,Customer 00239,Northeast
240,Customer 00240,Northeast
241,Customer 00241,West
242,Customer 00242,West
243,Customer 00243,Southeast
244,Customer 00244,Midwest
245,Customer 00245,Southwest
246,Customer 00246,West
247,Customer 00247,Southwest
248,Customer 00248,Midwest
249,Customer 00249,Southeast
250,Customer 00250,Midwest
251,Customer 00251,Southwest
252,Customer 00252,West
253,Customer 00253,Midwest
254,Customer 00254,Southeast
255,Customer 00255,Southeast
256,Customer 00256,Southwest
257,Customer 00257,West
258,Customer 00258,Northeast
259,Customer 00259,Northeast
260,Customer 00260,Midwest
261,Customer 00261,Northeast
262,Customer 00262,West
263,Customer 00263,Southeast
264,Customer 00264,Northeast
265,Customer 00265,West
266,Customer 00266,Northeast
267,Customer 00267,Southeast
268,Customer 00268,Northeast
269,Customer 00269,Northeast
270,Customer 00270,Northeast
271,Customer 00271,Northeast
272,Customer 00272,Northeast
273,Customer 00273,Northeast
274,Customer 00274,Midwest
275,Customer 00275,Southwest
276,Customer 00276,Southeast
277,Customer 00277,Southeast
278,Customer 00278,Midwest
279,Customer 00279,West
280,Customer 00280,West
281,Customer 00281,Northeast
282,Customer 00282,Southeast
283,Customer 00283,Southeast
284,Customer 00284,Southeast
285,Customer 00285,Midwest
286,Customer 00286,Midwest
287,Customer 00287,Northeast
288,Customer 00288,Southeast
289,Customer 00289,Midwest
290,Customer 00290,Northeast
291,Customer 00291,West
292,Customer 00292,Northeast
293,Customer 00293,West
294,Customer 00294,Northeast
295,Customer 00295,West
296,Customer 00296,West
297,Customer 00297,West
298,Customer 00298,West
299,Customer 00299,Southwest
300,Customer 00300,Southwest
301,Customer 00301,Southwest
302,Customer 00302,Northeast
303,Customer 00303,Midwest
304,Customer 00304,Midwest
305,Customer 00305,West
306,Customer 00306,Midwest
307,Customer 00307,Southeast
308,Customer 00308,Southwest
309,Customer 00309,Southeast
310,Customer 00310,Northeast
311,Customer 00311,Midwest
312,Customer 00312,Midwest
313,Customer 00313,Southeast
314,Customer 00314,Southeast
315,Customer 00315,Southeast
316,Customer 00316,Southeast
317,Customer 00317,Southeast
318,Customer 00318,Southwest
319,Customer 00319,Southeast
320,Customer 00320,West
321,Customer 00321,West
322,Customer 00322,Midwest
323,Customer 00323,Southeast
324,Customer 00324,Midwest
325,Customer 00325,West
326,Customer 00326,Southwest
327,Customer 00327,West
328,Customer 00328,Midwest
329,Customer 00329,Southwest
