inventory_id,warehouse_id,product_id,inventory_date,stock_level,reorder_point
1,1,1,2024-01-01,341.0,243.0
2,1,2,2024-01-01,20.0,201.0
3,1,3,2024-01-01,3.0,116.0
4,1,4,2024-01-01,98.0,73.0
5,1,5,2024-01-01,179.0,122.0
6,1,6,2024-01-01,136.0,62.0
7,1,7,2024-01-01,131.0,73.0
8,1,8,2024-01-01,97.0,71.0
9,1,9,2024-01-01,156.0,112.0
10,1,10,2024-01-01,114.0,55.0
11,1,11,2024-01-01,18.0,378.0
12,1,12,2024-01-01,175.0,
13,1,13,2024-01-01,117.0,83.0
14,1,14,2024-01-01,139.0,91.0
15,1,15,2024-01-01,15.0,79.0
16,1,16,2024-01-01,36.0,20.0
17,1,17,2024-01-01,77.0,44.0
18,1,18,2024-01-01,14.0,77.0
19,1,19,2024-01-01,28.0,20.0
20,1,20,2024-01-01,137.0,97.0
21,1,21,2024-01-01,245.0,179.0
22,1,22,2024-01-01,107.0,54.0
23,1,23,2024-01-01,116.0,56.0
24,1,24,2024-01-01,118.0,66.0
25,1,25,2024-01-01,8.0,162.0
26,1,26,2024-01-01,559.0,285.0
27,1,27,2024-01-01,123.0,47.0
28,1,28,2024-01-01,152.0,95.0
29,1,29,2024-01-01,49.0,32.0
30,1,30,2024-01-01,2.0,40.0
31,1,31,2024-01-01,16.0,34.0
32,1,32,2024-01-01,652.0,448.0
33,1,33,2024-01-01,206.0,145.0
34,1,34,2024-01-01,137.0,51.0
35,1,35,2024-01-01,214.0,154.0
36,1,36,2024-01-01,45.0,20.0
37,1,37,2024-01-01,145.0,68.0
38,1,38,2024-01-01,118.0,82.0
39,1,39,2024-01-01,149.0,57.0
40,1,40,2024-01-01,205.0,82.0
41,1,41,2024-01-01,83.0,35.0
42,1,42,2024-01-01,163.0,100.0
43,1,43,2024-01-01,6.0,29.0
44,1,44,2024-01-01,188.0,128.0
45,1,45,2024-01-01,130.0,67.0
46,1,46,2024-01-01,132.0,69.0
47,1,47,2024-01-01,2.0,90.0
48,1,48,2024-01-01,69.0,32.0
