order_id,customer_id,warehouse_id,order_date,status
49872,2419,1,2024-01-01,Completed
44665,3541,3,2024-01-01,Completed
44658,2694,4,2024-01-01,Completed
8437,3665,1,2024-01-01,Completed
48921,4902,2,2024-01-01,Completed
22175,937,2,2024-01-01,Completed
12947,1795,3,2024-01-01,Cancelled
40581,2741,2,2024-01-01,Completed
14424,1593,2,2024-01-01,Completed
6542,407,3,2024-01-01,Completed
502,295,3,2024-01-01,Completed
22271,1193,5,2024-01-01,Completed
35737,1190,3,2024-01-01,Pending
14533,90,2,2024-01-01,Completed
20153,4047,5,2024-01-01,Completed
8280,2030,5,2024-01-01,Completed
24550,1489,1,2024-01-01,Completed
37405,3076,2,2024-01-01,Completed
43154,764,5,2024-01-01,Completed
17860,2984,1,2024-01-01,Completed
5503,12,1,2024-01-01,Completed
17905,4281,2,2024-01-01,Completed
6491,4909,5,2024-01-01,Completed
458,674,2,2024-01-01,Completed
37430,1347,5,2024-01-01,Completed
12805,505,2,2024-01-01,Completed
37370,4396,4,2024-01-01,Completed
32778,590,5,2024-01-01,Completed
7795,174,4,2024-01-01,Completed
24408,1228,2,2024-01-01,Completed
26629,1364,1,2024-01-01,Completed
14127,442,1,2024-01-01,Completed
37501,4717,1,2024-01-01,Completed
47933,1628,3,2024-01-01,Completed
29994,4510,4,2024-01-01,Completed
30830,726,4,2024-01-01,Completed
16878,3815,1,2024-01-01,Completed
5133,1961,1,2024-01-01,Completed
39926,2579,2,2024-01-01,Completed
24441,1756,3,2024-01-01,Cancelled
1915,1191,2,2024-01-01,Completed
12844,4220,5,2024-01-01,Completed
25096,4827,2,2024-01-01,Completed
5117,4978,2,2024-01-01,Completed
18860,1278,4,2024-01-01,Completed
36909,3546,5,2024-01-01,Completed
47161,4591,5,2024-01-01,Completed
6830,2593,4,2024-01-01,Completed
49602,2778,1,2024-01-01,Completed
38879,3206,5,2024-01-01,Completed
11422,3148,1,2024-01-01,Completed
18252,4556,4,2024-01-01,Completed
46582,2797,2,2024-01-01,Pending
20601,2822,1,2024-01-01,Completed
46603,2983,1,2024-01-01,Completed
6876,1544,2,2024-01-01,Completed
22687,4021,2,2024-01-01,Completed
40378,3239,1,2024-01-01,Completed
28507,2864,4,2024-01-01,Completed
31916,94,5,2024-01-01,Completed
40296,3025,1,2024-01-01,Completed
10259,3351,4,2024-01-01,Completed
45656,4149,4,2024-01-01,Completed
33472,4340,4,2024-01-01,Completed
6671,2852,3,2024-01-01,Cancelled
23967,2298,5,2024-01-01,Pending
15987,4036,1,2024-01-01,Completed
15264,1145,2,2024-01-01,Completed
6174,4053,2,2024-01-01,Pending
21130,400,1,2024-01-01,Pending
27646,819,1,2024-01-01,Completed
33516,2714,2,2024-01-01,Completed
22512,3400,1,2024-01-01,Completed
36223,4625,2,2024-01-01,Cancelled
45513,4477,5,2024-01-01,Completed
45619,132,4,2024-01-01,Completed
6769,1188,1,2024-01-01,Completed
2510,415,3,2024-01-01,Cancelled
21140,96,2,2024-01-01,Completed
41984,421,2,2024-01-02,Completed
41301,553,4,2024-01-02,Completed
36505,3713,5,2024-01-02,Completed
39876,3548,5,2024-01-02,Completed
20389,379,4,2024-01-02,Completed
36520,1674,2,2024-01-02,Completed
34120,1317,2,2024-01-02,Completed
44236,4832,3,2024-01-02,Completed
11276,3101,1,2024-01-02,Completed
18312,4916,4,2024-01-02,Completed
18868,215,1,2024-01-02,Completed
32613,2029,1,2024-01-02,Completed
47305,4875,2,2024-01-02,Completed
32322,387,2,2024-01-02,Completed
11751,882,1,2024-01-02,Completed
3608,683,2,2024-01-02,Completed
26986,4777,2,2024-01-02,Completed
8349,4228,5,2024-01-02,Completed
45841,4131,2,2024-01-02,Completed
5870,504,3,2024-01-02,Completed
48509,2597,5,2024-01-02,Completed
7325,3456,3,2024-01-02,Completed
21558,3708,5,2024-01-02,Completed
18282,1281,5,2024-01-02,Completed
3038,3232,2,2024-01-02,Completed
34142,2614,1,2024-01-02,Completed
11491,2647,1,2024-01-02,Completed
35497,2627,1,2024-01-02,Completed
22422,889,5,2024-01-02,Completed
25267,2896,4,2024-01-02,Completed
48252,4985,2,2024-01-02,Completed
14954,3995,5,2024-01-02,Completed
27685,961,2,2024-01-02,Completed
30754,3456,2,2024-01-02,Pending
29926,3284,3,2024-01-02,Completed
33775,121,4,2024-01-02,Completed
25231,1465,1,2024-01-02,Completed
27679,2950,2,2024-01-02,Completed
2470,472,5,2024-01-02,Completed
46572,1923,5,2024-01-02,Completed
44917,1658,2,2024-01-02,Completed
33610,4202,2,2024-01-02,Completed
37433,2352,4,2024-01-02,Completed
12572,4290,4,2024-01-02,Completed
1712,1888,3,2024-01-02,Completed
31465,4781,2,2024-01-02,Completed
4358,2864,4,2024-01-02,Completed
46304,1133,3,2024-01-02,Completed
39184,2368,3,2024-01-02,Completed
6763,4987,2,2024-01-02,Completed
34028,4858,5,2024-01-02,Completed
48119,567,1,2024-01-02,Completed
12028,2805,2,2024-01-02,Completed
46672,409,4,2024-01-02,Completed
25690,3228,4,2024-01-02,Completed
20278,4688,2,2024-01-02,Completed
9994,4977,2,2024-01-02,Completed
28844,4122,5,2024-01-02,Completed
14279,4167,5,2024-01-02,Completed
12273,704,2,2024-01-02,Completed
15445,2852,3,2024-01-02,Completed
13241,3948,4,2024-01-03,Completed
9660,4866,1,2024-01-03,Completed
17984,170,2,2024-01-03,Completed
10188,2095,5,2024-01-03,Pending
7835,2947,2,2024-01-03,Completed
21069,2749,4,2024-01-03,Completed
7877,1720,1,2024-01-03,Completed
41542,833,3,2024-01-03,Completed
7881,4807,4,2024-01-03,Completed
20974,3826,1,2024-01-03,Completed
48145,1865,1,2024-01-03,Cancelled
24854,1189,2,2024-01-03,Pending
23152,1702,3,2024-01-03,Completed
1372,2725,2,2024-01-03,Completed
45684,4035,1,2024-01-03,Completed
2131,2126,4,2024-01-03,Completed
4531,2756,5,2024-01-03,Completed
17213,3659,1,2024-01-03,Completed
34501,996,5,2024-01-03,Pending
21455,434,2,2024-01-03,Completed
13822,1300,3,2024-01-03,Completed
21503,1134,2,2024-01-03,Completed
37682,4623,1,2024-01-03,Completed
39637,1456,4,2024-01-03,Completed
34221,2755,1,2024-01-03,Completed
41867,4282,1,2024-01-03,Completed
37614,3806,2,2024-01-03,Completed
42119,2519,3,2024-01-03,Completed
3937,4766,4,2024-01-03,Cancelled
34024,1605,4,2024-01-03,Completed
25740,1550,2,2024-01-03,Completed
399,4339,4,2024-01-03,Completed
3870,3010,4,2024-01-03,Completed
449,2334,2,2024-01-03,Completed
43058,4694,5,2024-01-03,Completed
17580,1155,2,2024-01-03,Completed
17624,3802,1,2024-01-03,Completed
33574,4069,2,2024-01-03,Completed
31424,3814,3,2024-01-03,Completed
