product_id,product_name,category,supplier_id,unit_cost,unit_price
1,Product 0001,Electronics,9,184.15,335.1
2,Product 0002,Sports & Outdoors,9,290.25,506.44
3,Product 0003,Electronics,13,235.12,486.18
4,Product 0004,Office Supplies,30,29.33,64.38
5,Product 0005,Office Supplies,10,108.92,151.61
6,Product 0006,Electronics,22,471.67,686.86
7,Product 0007,Sports & Outdoors,24,129.34,185.75
8,Product 0008,Electronics,2,295.94,561.74
9,Product 0009,Sports & Outdoors,16,116.12,227.94
10,Product 0010,Apparel,14,4.66,8.25
11,Product 0011,Home & Kitchen,16,275.49,481.29
12,Product 0012,Electronics,6,231.48,512.68
13,Product 0013,Home & Kitchen,14,200.25,303.23
14,Product 0014,Home & Kitchen,4,218.57,303.95
15,Product 0015,Home & Kitchen,29,165.86,279.81
16,Product 0016,Sports & Outdoors,18,100.5,181.13
17,Product 0017,Home & Kitchen,2,270.28,486.07
18,Product 0018,Apparel,16,75.41,158.44
19,Product 0019,Electronics,28,321.99,616.99
20,Product 0020,Sports & Outdoors,23,162.98,278.33
21,Product 0021,Home & Kitchen,9,85.59,151.05
22,Product 0022,Home & Kitchen,27,24.8,41.53
23,Product 0023,Office Supplies,6,44.14,64.99
24,Product 0024,Electronics,8,97.79,191.44
25,Product 0025,Apparel,5,76.96,168.23
26,Product 0026,Home & Kitchen,28,202.87,440.71
27,Product 0027,Office Supplies,22,27.51,56.59
28,Product 0028,Office Supplies,16,37.4,61.92
29,Product 0029,Office Supplies,21,81.29,121.65
30,Product 0030,Electronics,8,116.08,168.37
31,Product 0031,Electronics,3,521.62,839.32
32,Product 0032,Electronics,26,197.22,352.91
33,Product 0033,Home & Kitchen,29,29.3,59.59
34,Product 0034,Electronics,2,106.22,190.23
35,Product 0035,Sports & Outdoors,2,302.43,560.32
36,Product 0036,Office Supplies,17,32.01,46.74
37,Product 0037,Office Supplies,2,69.9,120.22
38,Product 0038,Home & Kitchen,22,44.22,86.52
39,Product 0039,Home & Kitchen,29,55.5,105.11
40,Product 0040,Office Supplies,9,77.23,158.63
41,Product 0041,Home & Kitchen,9,57.61,82.54
42,Product 0042,Home & Kitchen,26,8.9,19.19
43,Product 0043,Office Supplies,11,41.59,91.72
44,Product 0044,Office Supplies,8,77.76,155.7
45,Product 0045,Sports & Outdoors,3,135.35,202.33
46,Product 0046,Home & Kitchen,26,43.05,72.8
47,Product 0047,Office Supplies,28,109.47,176.85
48,Product 0048,Electronics,3,339.97,622
49,Product 0049,Home & Kitchen,25,199.99,426.84
50,Product 0050,Apparel,5,129.43,190.02
51,Product 0051,Electronics,5,321.4,640.49
