shipment_id,order_id,ship_date,expected_delivery_date,actual_delivery_date,carrier,shipping_cost
1,1,2024-01-01,2024-01-06,2024-01-06,Carrier B,67.67
2,2,2024-01-03,2024-01-07,2024-01-07,Carrier A,7.65
3,3,2024-01-01,2024-01-04,2024-01-05,Carrier C,68.25
4,4,2024-01-01,2024-01-04,2024-01-02,Carrier C,46.42
5,5,2024-01-01,2024-01-06,2024-01-04,Carrier B,36.18
6,6,2024-01-02,2024-01-06,2024-01-06,Carrier C,6.96
7,7,2024-01-01,2024-01-07,,Carrier B,13.79
8,8,2024-01-03,2024-01-07,2024-01-07,Carrier D,71.74
9,9,2024-01-03,2024-01-07,2024-01-07,Carrier B,28.41
10,10,2024-01-01,2024-01-04,2024-01-07,Carrier D,69.63
11,11,2024-01-03,2024-01-05,2024-01-05,Carrier B,39.85
12,12,2024-01-03,2024-01-09,2024-01-09,Carrier A,74.05
13,13,2024-01-03,2024-01-07,2024-01-09,Carrier D,34.34
14,14,2024-01-03,2024-01-06,2024-01-06,Carrier B,38.41
15,15,2024-01-03,2024-01-04,2024-01-09,Carrier C,6.89
16,16,2024-01-01,2024-01-05,2024-01-05,Carrier B,46.97
17,17,2024-01-03,2024-01-04,2024-01-04,Carrier A,67.3
18,18,2024-01-02,2024-01-08,2024-01-08,Carrier B,17.69
19,19,2024-01-01,2024-01-07,2024-01-07,Carrier A,21.71
20,20,2024-01-03,2024-01-06,2024-01-06,Carrier D,22.23
21,21,2024-01-02,2024-01-04,2024-01-04,Carrier A,73.3
22,22,2024-01-02,2024-01-06,2024-01-06,Carrier C,11.29
23,23,2024-01-02,2024-01-05,2024-01-05,Carrier A,37.93
24,24,2024-01-02,2024-01-08,2024-01-08,Carrier D,11.75
25,25,2024-01-02,2024-01-09,2024-01-09,Carrier A,83.95
26,26,2024-01-01,2024-01-04,2024-01-04,Carrier D,52.64
27,27,2024-01-03,2024-01-07,2024-01-07,Carrier D,45.7
28,28,2024-01-02,2024-01-08,2024-01-10,Carrier B,14.33
29,29,2024-01-01,2024-01-04,2024-01-04,Carrier D,81.83
30,30,2024-01-02,2024-01-08,2024-01-09,Carrier B,83.62
31,31,2024-01-01,2024-01-04,2024-01-04,Carrier B,55.91
32,32,2024-01-03,2024-01-06,2024-01-06,Carrier A,84.89
33,33,2024-01-03,2024-01-04,2024-01-07,Carrier A,20.08
34,34,2024-01-01,2024-01-09,2024-01-10,Carrier B,78.86
35,35,2024-01-02,2024-01-09,2024-01-09,Carrier A,79.59
36,36,2024-01-01,2024-01-04,2024-01-04,Carrier D,37.31
37,37,2024-01-03,2024-01-06,2024-01-04,Carrier B,20.8
38,38,2024-01-02,2024-01-09,2024-01-12,Carrier C,32.51
39,39,2024-01-02,2024-01-05,2024-01-05,Carrier B,9.37
40,40,2024-01-03,2024-01-08,,Carrier A,73.15
41,41,2024-01-01,2024-01-07,2024-01-06,Carrier A,80.56
42,42,2024-01-01,2024-01-07,2024-01-07,Carrier C,27.2
43,43,2024-01-01,2024-01-05,2024-01-05,Carrier A,29.97
44,44,2024-01-01,2024-01-06,2024-01-06,Carrier B,30.14
45,45,2024-01-01,2024-01-06,2024-01-06,Carrier A,78.07
46,46,2024-01-02,2024-01-04,2024-01-04,Carrier D,59.99
47,47,2024-01-02,2024-01-08,2024-01-08,Carrier C,72.15
48,48,2024-01-03,2024-01-09,2024-01-09,Carrier A,43.51
49,49,2024-01-02,2024-01-08,2024-01-09,Carrier A,69.94
50,50,2024-01-02,2024-01-08,2024-01-08,Carrier D,49.26
51,51,2024-01-01,2024-01-05,2024-01-05,Carrier C,5.22
52,52,2024-01-03,2024-01-07,2024-01-07,Carrier B,35.61
53,53,2024-01-03,2024-01-05,,Carrier D,38.1
54,54,2024-01-01,2024-01-06,2024-01-08,Carrier A,60.45
55,55,2024-01-01,2024-01-09,2024-01-12,Carrier A,67.98
56,56,2024-01-03,2024-01-05,2024-01-05,Carrier C,9.33
57,57,2024-01-03,2024-01-06,2024-01-07,Carrier B,36.91
58,58,2024-01-03,2024-01-05,2024-01-08,Carrier C,24.16
59,59,2024-01-03,2024-01-06,2024-01-07,Carrier A,37.25
60,60,2024-01-03,2024-01-08,2024-01-10,Carrier B,11.94
61,61,2024-01-01,2024-01-06,2024-01-06,Carrier C,63.27
62,62,2024-01-03,2024-01-07,2024-01-08,Carrier A,10.43
63,63,2024-01-02,2024-01-09,2024-01-09,Carrier B,61.52
64,64,2024-01-01,2024-01-06,2024-01-08,Carrier A,54.2
65,65,2024-01-01,2024-01-09,,Carrier C,63.56
66,66,2024-01-02,2024-01-04,,Carrier A,12.9
67,67,2024-01-01,2024-01-07,2024-01-07,Carrier A,42.17
68,68,2024-01-02,2024-01-04,2024-01-06,Carrier A,41.51
69,69,2024-01-02,2024-01-06,,Carrier C,15.14
70,70,2024-01-03,2024-01-09,2024-01-09,Carrier B,21.55
71,71,2024-01-01,2024-01-05,2024-01-05,Carrier C,5.71
72,72,2024-01-03,2024-01-08,2024-01-06,Carrier B,34.05
73,73,2024-01-02,2024-01-08,2024-01-08,Carrier A,38.48
