"shipment_id","order_id","carrier","ship_date","expected_delivery_date","actual_delivery_date","shipment_cost","delivery_status","delivery_days","days_late"
1,1,"Carrier B","2024-01-01","2024-01-06","2024-01-06",67.67,"On Time",5,0
2,2,"Carrier A","2024-01-03","2024-01-07","2024-01-07",7.65,"On Time",4,0
3,3,"Carrier C","2024-01-01","2024-01-04","2024-01-05",68.25,"Late",4,1
4,4,"Carrier C","2024-01-01","2024-01-04","2024-01-02",46.42,"On Time",1,0
5,5,"Carrier B","2024-01-01","2024-01-06","2024-01-04",36.18,"On Time",3,0
6,6,"Carrier C","2024-01-02","2024-01-06","2024-01-06",6.96,"On Time",4,0
7,7,"Carrier B","2024-01-01","2024-01-07",NULL,13.79,"Not Delivered",NULL,0
8,8,"Carrier D","2024-01-03","2024-01-07","2024-01-07",71.74,"On Time",4,0
9,9,"Carrier B","2024-01-03","2024-01-07","2024-01-07",28.41,"On Time",4,0
10,10,"Carrier D","2024-01-01","2024-01-04","2024-01-07",69.63,"Late",6,3
11,11,"Carrier B","2024-01-03","2024-01-05","2024-01-05",39.85,"On Time",2,0
12,12,"Carrier A","2024-01-03","2024-01-09","2024-01-09",74.05,"On Time",6,0
13,13,"Carrier D","2024-01-03","2024-01-07","2024-01-09",34.34,"Late",6,2
14,14,"Carrier B","2024-01-03","2024-01-06","2024-01-06",38.41,"On Time",3,0
15,15,"Carrier C","2024-01-03","2024-01-04","2024-01-09",6.89,"Late",6,5
16,16,"Carrier B","2024-01-01","2024-01-05","2024-01-05",46.97,"On Time",4,0
17,17,"Carrier A","2024-01-03","2024-01-04","2024-01-04",67.30,"On Time",1,0
18,18,"Carrier B","2024-01-02","2024-01-08","2024-01-08",17.69,"On Time",6,0
19,19,"Carrier A","2024-01-01","2024-01-07","2024-01-07",21.71,"On Time",6,0
20,20,"Carrier D","2024-01-03","2024-01-06","2024-01-06",22.23,"On Time",3,0
21,21,"Carrier A","2024-01-02","2024-01-04","2024-01-04",73.30,"On Time",2,0
22,22,"Carrier C","2024-01-02","2024-01-06","2024-01-06",11.29,"On Time",4,0
23,23,"Carrier A","2024-01-02","2024-01-05","2024-01-05",37.93,"On Time",3,0
24,24,"Carrier D","2024-01-02","2024-01-08","2024-01-08",11.75,"On Time",6,0
25,25,"Carrier A","2024-01-02","2024-01-09","2024-01-09",83.95,"On Time",7,0
26,26,"Carrier D","2024-01-01","2024-01-04","2024-01-04",52.64,"On Time",3,0
27,27,"Carrier D","2024-01-03","2024-01-07","2024-01-07",45.70,"On Time",4,0
28,28,"Carrier B","2024-01-02","2024-01-08","2024-01-10",14.33,"Late",8,2
29,29,"Carrier D","2024-01-01","2024-01-04","2024-01-04",81.83,"On Time",3,0
30,30,"Carrier B","2024-01-02","2024-01-08","2024-01-09",83.62,"Late",7,1
31,31,"Carrier B","2024-01-01","2024-01-04","2024-01-04",55.91,"On Time",3,0
32,32,"Carrier A","2024-01-03","2024-01-06","2024-01-06",84.89,"On Time",3,0
33,33,"Carrier A","2024-01-03","2024-01-04","2024-01-07",20.08,"Late",4,3
34,34,"Carrier B","2024-01-01","2024-01-09","2024-01-10",78.86,"Late",9,1
35,35,"Carrier A","2024-01-02","2024-01-09","2024-01-09",79.59,"On Time",7,0
36,36,"Carrier D","2024-01-01","2024-01-04","2024-01-04",37.31,"On Time",3,0
37,37,"Carrier B","2024-01-03","2024-01-06","2024-01-04",20.80,"On Time",1,0
38,38,"Carrier C","2024-01-02","2024-01-09","2024-01-12",32.51,"Late",10,3
39,39,"Carrier B","2024-01-02","2024-01-05","2024-01-05",9.37,"On Time",3,0
40,40,"Carrier A","2024-01-03","2024-01-08",NULL,73.15,"Not Delivered",NULL,0
41,41,"Carrier A","2024-01-01","2024-01-07","2024-01-06",80.56,"On Time",5,0
42,42,"Carrier C","2024-01-01","2024-01-07","2024-01-07",27.20,"On Time",6,0
43,43,"Carrier A","2024-01-01","2024-01-05","2024-01-05",29.97,"On Time",4,0
44,44,"Carrier B","2024-01-01","2024-01-06","2024-01-06",30.14,"On Time",5,0
45,45,"Carrier A","2024-01-01","2024-01-06","2024-01-06",78.07,"On Time",5,0
46,46,"Carrier D","2024-01-02","2024-01-04","2024-01-04",59.99,"On Time",2,0
47,47,"Carrier C","2024-01-02","2024-01-08","2024-01-08",72.15,"On Time",6,0
48,48,"Carrier A","2024-01-03","2024-01-09","2024-01-09",43.51,"On Time",6,0
49,49,"Carrier A","2024-01-02","2024-01-08","2024-01-09",69.94,"Late",7,1
50,50,"Carrier D","2024-01-02","2024-01-08","2024-01-08",49.26,"On Time",6,0
51,51,"Carrier C","2024-01-01","2024-01-05","2024-01-05",5.22,"On Time",4,0
52,52,"Carrier B","2024-01-03","2024-01-07","2024-01-07",35.61,"On Time",4,0
53,53,"Carrier D","2024-01-03","2024-01-05",NULL,38.10,"Not Delivered",NULL,0
54,54,"Carrier A","2024-01-01","2024-01-06","2024-01-08",60.45,"Late",7,2
55,55,"Carrier A","2024-01-01","2024-01-09","2024-01-12",67.98,"Late",11,3
56,56,"Carrier C","2024-01-03","2024-01-05","2024-01-05",9.33,"On Time",2,0
57,57,"Carrier B","2024-01-03","2024-01-06","2024-01-07",36.91,"Late",4,1
58,58,"Carrier C","2024-01-03","2024-01-05","2024-01-08",24.16,"Late",5,3
59,59,"Carrier A","2024-01-03","2024-01-06","2024-01-07",37.25,"Late",4,1
60,60,"Carrier B","2024-01-03","2024-01-08","2024-01-10",11.94,"Late",7,2
61,61,"Carrier C","2024-01-01","2024-01-06","2024-01-06",63.27,"On Time",5,0
62,62,"Carrier A","2024-01-03","2024-01-07","2024-01-08",10.43,"Late",5,1
63,63,"Carrier B","2024-01-02","2024-01-09","2024-01-09",61.52,"On Time",7,0
64,64,"Carrier A","2024-01-01","2024-01-06","2024-01-08",54.20,"Late",7,2
65,65,"Carrier C","2024-01-01","2024-01-09",NULL,63.56,"Not Delivered",NULL,0
66,66,"Carrier A","2024-01-02","2024-01-04",NULL,12.90,"Not Delivered",NULL,0
67,67,"Carrier A","2024-01-01","2024-01-07","2024-01-07",42.17,"On Time",6,0
68,68,"Carrier A","2024-01-02","2024-01-04","2024-01-06",41.51,"Late",4,2
69,69,"Carrier C","2024-01-02","2024-01-06",NULL,15.14,"Not Delivered",NULL,0
70,70,"Carrier B","2024-01-03","2024-01-09","2024-01-09",21.55,"On Time",6,0
71,71,"Carrier C","2024-01-01","2024-01-05","2024-01-05",5.71,"On Time",4,0
72,72,"Carrier B","2024-01-03","2024-01-08","2024-01-06",34.05,"On Time",3,0
73,73,"Carrier A","2024-01-02","2024-01-08","2024-01-08",38.48,"On Time",6,0
74,74,"Carrier B","2024-01-03","2024-01-07",NULL,64.82,"Not Delivered",NULL,0
75,75,"Carrier C","2024-01-01","2024-01-04","2024-01-09",60.18,"Late",8,5
76,76,"Carrier C","2024-01-01","2024-01-04","2024-01-04",48.86,"On Time",3,0
77,77,"Carrier B","2024-01-03","2024-01-04","2024-01-03",19.76,"On Time",0,0
78,78,"Carrier C","2024-01-02","2024-01-04",NULL,63.21,"Not Delivered",NULL,0
79,79,"Carrier B","2024-01-01","2024-01-08","2024-01-09",73.49,"Late",8,1
80,80,"Carrier A","2024-01-03","2024-01-06","2024-01-06",26.90,"On Time",3,0
81,81,"Carrier C","2024-01-02","2024-01-09","2024-01-10",40.11,"Late",8,1
82,82,"Carrier C","2024-01-03","2024-01-05","2024-01-05",23.56,"On Time",2,0
83,83,"Carrier C","2024-01-03","2024-01-09","2024-01-09",19.03,"On Time",6,0
84,84,"Carrier C","2024-01-04","2024-01-10","2024-01-10",47.75,"On Time",6,0
85,85,"Carrier B","2024-01-03","2024-01-06","2024-01-05",69.24,"On Time",2,0
86,86,"Carrier D","2024-01-02","2024-01-06","2024-01-09",40.77,"Late",7,3
87,87,"Carrier C","2024-01-04","2024-01-05","2024-01-05",41.26,"On Time",1,0
88,88,"Carrier B","2024-01-03","2024-01-09","2024-01-09",22.21,"On Time",6,0
89,89,"Carrier C","2024-01-02","2024-01-07","2024-01-07",53.60,"On Time",5,0
90,90,"Carrier B","2024-01-03","2024-01-09","2024-01-08",76.82,"On Time",5,0
91,91,"Carrier A","2024-01-02","2024-01-08","2024-01-10",46.58,"Late",8,2
92,92,"Carrier B","2024-01-04","2024-01-10","2024-01-10",24.33,"On Time",6,0
93,93,"Carrier B","2024-01-02","2024-01-09","2024-01-09",66.60,"On Time",7,0
94,94,"Carrier A","2024-01-03","2024-01-10","2024-01-10",49.07,"On Time",7,0
95,95,"Carrier A","2024-01-03","2024-01-05","2024-01-07",24.71,"Late",4,2
96,96,"Carrier C","2024-01-04","2024-01-06","2024-01-06",70.62,"On Time",2,0
97,97,"Carrier D","2024-01-04","2024-01-05","2024-01-04",49.51,"On Time",0,0
98,98,"Carrier C","2024-01-03","2024-01-07","2024-01-07",52.23,"On Time",4,0
99,99,"Carrier D","2024-01-02","2024-01-06","2024-01-08",46.62,"Late",6,2
100,100,"Carrier C","2024-01-03","2024-01-09","2024-01-14",38.68,"Late",11,5
101,101,"Carrier C","2024-01-02","2024-01-09","2024-01-09",68.93,"On Time",7,0
102,102,"Carrier A","2024-01-02","2024-01-07","2024-01-10",13.56,"Late",8,3
103,103,"Carrier D","2024-01-03","2024-01-07","2024-01-07",78.54,"On Time",4,0
104,104,"Carrier A","2024-01-03","2024-01-06","2024-01-06",38.09,"On Time",3,0
105,105,"Carrier D","2024-01-04","2024-01-08","2024-01-09",56.09,"Late",5,1
106,106,"Carrier A","2024-01-03","2024-01-10","2024-01-10",64.00,"On Time",7,0
107,107,"Carrier C","2024-01-03","2024-01-06","2024-01-04",67.30,"On Time",1,0
108,108,"Carrier A","2024-01-02","2024-01-06","2024-01-06",78.87,"On Time",4,0
109,109,"Carrier A","2024-01-03","2024-01-07","2024-01-07",19.11,"On Time",4,0
110,110,"Carrier A","2024-01-04","2024-01-09","2024-01-11",58.34,"Late",7,2
111,111,"Carrier B","2024-01-03","2024-01-10","2024-01-10",35.08,"On Time",7,0
112,112,"Carrier A","2024-01-03","2024-01-10","2024-01-12",63.85,"Late",9,2
113,113,"Carrier A","2024-01-03","2024-01-06",NULL,50.07,"Not Delivered",NULL,0
