"customer_id","customer_name","order_count","total_revenue","avg_order_value","cancelled_orders","cancellation_rate"
1,"Customer 00001",10,13099.76,1309.98,3,30.00
2,"Customer 00002",8,4537.18,567.15,0,0.00
3,"Customer 00003",11,15936.70,1448.79,1,9.09
4,"Customer 00004",10,9300.12,930.01,1,10.00
5,"Customer 00005",9,11077.80,1230.87,0,0.00
6,"Customer 00006",6,5115.79,852.63,1,16.67
7,"Customer 00007",9,3653.24,405.92,0,0.00
8,"Customer 00008",7,4529.34,647.05,0,0.00
9,"Customer 00009",6,5286.32,881.05,0,0.00
10,"Customer 00010",8,9671.92,1208.99,0,0.00
11,"Customer 00011",10,9472.18,947.22,1,10.00
12,"Customer 00012",13,17220.98,1324.69,0,0.00
13,"Customer 00013",9,5325.71,591.75,0,0.00
14,"Customer 00014",9,13633.35,1514.82,0,0.00
15,"Customer 00015",7,6160.70,880.10,1,14.29
16,"Customer 00016",5,4526.30,905.26,0,0.00
17,"Customer 00017",12,23900.22,1991.69,1,8.33
18,"Customer 00018",7,5886.61,840.94,2,28.57
19,"Customer 00019",14,14403.99,1028.86,1,7.14
20,"Customer 00020",11,10296.21,936.02,1,9.09
21,"Customer 00021",12,12655.21,1054.60,1,8.33
22,"Customer 00022",16,18537.24,1158.58,0,0.00
23,"Customer 00023",10,14480.03,1448.00,0,0.00
24,"Customer 00024",8,9518.06,1189.76,0,0.00
25,"Customer 00025",6,10141.13,1690.19,0,0.00
26,"Customer 00026",11,11826.60,1075.15,2,18.18
27,"Customer 00027",13,17081.09,1313.93,0,0.00
28,"Customer 00028",9,11744.61,1304.96,2,22.22
29,"Customer 00029",11,11654.01,1059.46,1,9.09
30,"Customer 00030",17,13195.70,776.22,0,0.00
31,"Customer 00031",16,16084.83,1005.30,3,18.75
32,"Customer 00032",8,14351.65,1793.96,1,12.50
33,"Customer 00033",8,6883.62,860.45,2,25.00
34,"Customer 00034",13,11540.73,887.75,0,0.00
35,"Customer 00035",11,18400.27,1672.75,1,9.09
36,"Customer 00036",13,12244.27,941.87,0,0.00
37,"Customer 00037",14,12116.42,865.46,2,14.29
38,"Customer 00038",13,13248.02,1019.08,0,0.00
39,"Customer 00039",5,4129.39,825.88,0,0.00
40,"Customer 00040",12,13466.73,1122.23,4,33.33
41,"Customer 00041",13,16028.37,1232.95,1,7.69
42,"Customer 00042",8,7077.20,884.65,1,12.50
43,"Customer 00043",17,32050.79,1885.34,1,5.88
44,"Customer 00044",4,3266.58,816.65,0,0.00
45,"Customer 00045",6,4092.03,682.01,1,16.67
46,"Customer 00046",8,6453.90,806.74,0,0.00
47,"Customer 00047",6,6563.39,1093.90,0,0.00
48,"Customer 00048",7,7745.69,1106.53,0,0.00
49,"Customer 00049",11,18415.40,1674.13,3,27.27
50,"Customer 00050",15,20813.70,1387.58,1,6.67
51,"Customer 00051",5,5656.17,1131.23,0,0.00
52,"Customer 00052",10,12036.34,1203.63,1,10.00
53,"Customer 00053",7,5914.91,844.99,0,0.00
54,"Customer 00054",9,5773.36,641.48,0,0.00
55,"Customer 00055",6,10462.03,1743.67,2,33.33
56,"Customer 00056",9,9788.43,1087.60,0,0.00
57,"Customer 00057",9,6617.00,735.22,0,0.00
58,"Customer 00058",11,12783.01,1162.09,3,27.27
59,"Customer 00059",11,22566.78,2051.53,0,0.00
60,"Customer 00060",7,9676.71,1382.39,0,0.00
61,"Customer 00061",8,7216.44,902.06,1,12.50
62,"Customer 00062",5,2124.75,424.95,0,0.00
63,"Customer 00063",10,8580.69,858.07,2,20.00
64,"Customer 00064",6,9845.87,1640.98,1,16.67
65,"Customer 00065",10,10173.91,1017.39,1,10.00
66,"Customer 00066",7,8598.12,1228.30,0,0.00
67,"Customer 00067",8,7291.13,911.39,0,0.00
68,"Customer 00068",7,5032.07,718.87,0,0.00
69,"Customer 00069",10,9647.73,964.77,0,0.00
70,"Customer 00070",8,10201.29,1275.16,0,0.00
71,"Customer 00071",9,8525.04,947.23,0,0.00
72,"Customer 00072",12,18261.83,1521.82,1,8.33
73,"Customer 00073",10,6009.06,600.91,0,0.00
74,"Customer 00074",9,9457.92,1050.88,1,11.11
75,"Customer 00075",11,11089.69,1008.15,0,0.00
76,"Customer 00076",10,9539.93,953.99,1,10.00
77,"Customer 00077",6,13702.66,2283.78,0,0.00
78,"Customer 00078",8,11758.76,1469.85,0,0.00
79,"Customer 00079",11,12206.58,1109.69,0,0.00
80,"Customer 00080",13,20735.03,1595.00,0,0.00
81,"Customer 00081",10,8000.35,800.04,0,0.00
82,"Customer 00082",6,3005.31,500.89,0,0.00
83,"Customer 00083",10,12733.14,1273.31,2,20.00
84,"Customer 00084",8,14288.23,1786.03,1,12.50
85,"Customer 00085",10,18681.39,1868.14,0,0.00
86,"Customer 00086",7,7987.00,1141.00,1,14.29
87,"Customer 00087",15,27559.08,1837.27,2,13.33
88,"Customer 00088",14,17604.93,1257.50,1,7.14
89,"Customer 00089",10,15701.32,1570.13,0,0.00
90,"Customer 00090",3,3653.03,1217.68,0,0.00
91,"Customer 00091",5,6733.71,1346.74,0,0.00
92,"Customer 00092",15,17023.14,1134.88,0,0.00
93,"Customer 00093",10,13575.01,1357.50,0,0.00
94,"Customer 00094",15,27348.26,1823.22,1,6.67
95,"Customer 00095",14,15719.47,1122.82,0,0.00
96,"Customer 00096",12,15686.60,1307.22,1,8.33
97,"Customer 00097",10,12731.45,1273.15,1,10.00
98,"Customer 00098",4,8405.12,2101.28,0,0.00
99,"Customer 00099",12,23860.64,1988.39,0,0.00
100,"Customer 00100",13,18738.02,1441.39,0,0.00
101,"Customer 00101",10,13093.69,1309.37,0,0.00
102,"Customer 00102",10,7765.74,776.57,0,0.00
103,"Customer 00103",15,11846.79,789.79,1,6.67
104,"Customer 00104",9,9923.49,1102.61,1,11.11
105,"Customer 00105",12,9116.18,759.68,0,0.00
106,"Customer 00106",11,16949.93,1540.90,0,0.00
107,"Customer 00107",14,21006.87,1500.49,1,7.14
108,"Customer 00108",13,14263.79,1097.21,1,7.69
109,"Customer 00109",11,17743.22,1613.02,1,9.09
110,"Customer 00110",12,12027.04,1002.25,0,0.00
111,"Customer 00111",7,16649.54,2378.51,0,0.00
112,"Customer 00112",10,9857.62,985.76,0,0.00
113,"Customer 00113",10,13146.18,1314.62,1,10.00
114,"Customer 00114",11,13679.19,1243.56,1,9.09
115,"Customer 00115",11,9951.02,904.64,0,0.00
116,"Customer 00116",11,13007.61,1182.51,0,0.00
117,"Customer 00117",8,5121.36,640.17,1,12.50
118,"Customer 00118",15,17191.15,1146.08,1,6.67
119,"Customer 00119",10,10503.81,1050.38,0,0.00
120,"Customer 00120",10,23472.99,2347.30,0,0.00
121,"Customer 00121",7,6342.58,906.08,1,14.29
122,"Customer 00122",8,5514.40,689.30,0,0.00
123,"Customer 00123",11,9374.23,852.20,0,0.00
124,"Customer 00124",8,13483.70,1685.46,0,0.00
125,"Customer 00125",11,17350.15,1577.29,0,0.00
126,"Customer 00126",9,11457.29,1273.03,0,0.00
127,"Customer 00127",12,19283.71,1606.98,0,0.00
128,"Customer 00128",12,17928.72,1494.06,0,0.00
129,"Customer 00129",9,7089.00,787.67,1,11.11
130,"Customer 00130",14,10026.07,716.15,1,7.14
131,"Customer 00131",12,9629.83,802.49,1,8.33
132,"Customer 00132",10,6600.56,660.06,0,0.00
133,"Customer 00133",9,9211.51,1023.50,0,0.00
134,"Customer 00134",9,11315.54,1257.28,1,11.11
135,"Customer 00135",7,12742.09,1820.30,1,14.29
136,"Customer 00136",15,13712.25,914.15,0,0.00
137,"Customer 00137",5,2413.81,482.76,0,0.00
138,"Customer 00138",7,6084.25,869.18,3,42.86
139,"Customer 00139",13,13014.43,1001.11,0,0.00
140,"Customer 00140",5,6084.49,1216.90,0,0.00
141,"Customer 00141",7,3492.44,498.92,0,0.00
142,"Customer 00142",11,6181.16,561.92,0,0.00
143,"Customer 00143",12,6501.30,541.78,0,0.00
144,"Customer 00144",8,5016.47,627.06,0,0.00
145,"Customer 00145",8,8819.64,1102.46,1,12.50
146,"Customer 00146",9,11114.01,1234.89,1,11.11
147,"Customer 00147",15,14214.30,947.62,1,6.67
148,"Customer 00148",11,10461.90,951.08,0,0.00
149,"Customer 00149",7,11784.62,1683.52,0,0.00
150,"Customer 00150",15,21863.86,1457.59,0,0.00
151,"Customer 00151",13,20311.59,1562.43,1,7.69
152,"Customer 00152",11,17308.16,1573.47,0,0.00
153,"Customer 00153",6,8674.31,1445.72,0,0.00
154,"Customer 00154",9,7114.65,790.52,0,0.00
155,"Customer 00155",9,19686.88,2187.43,0,0.00
156,"Customer 00156",12,10445.87,870.49,1,8.33
157,"Customer 00157",15,14674.63,978.31,0,0.00
158,"Customer 00158",12,12724.77,1060.40,1,8.33
159,"Customer 00159",9,7899.18,877.69,0,0.00
160,"Customer 00160",11,8285.94,753.27,0,0.00
161,"Customer 00161",8,7427.50,928.44,0,0.00
162,"Customer 00162",6,8985.94,1497.66,0,0.00
163,"Customer 00163",4,2490.58,622.65,1,25.00
164,"Customer 00164",12,16341.30,1361.78,1,8.33
165,"Customer 00165",7,6486.22,926.60,0,0.00
166,"Customer 00166",12,18673.19,1556.10,3,25.00
167,"Customer 00167",12,14373.28,1197.77,4,33.33
168,"Customer 00168",10,16047.44,1604.74,4,40.00
169,"Customer 00169",9,16009.83,1778.87,0,0.00
170,"Customer 00170",10,11002.80,1100.28,0,0.00
171,"Customer 00171",16,13418.46,838.65,1,6.25
172,"Customer 00172",14,17088.54,1220.61,0,0.00
173,"Customer 00173",9,10368.25,1152.03,2,22.22
174,"Customer 00174",13,11935.23,918.09,2,15.38
175,"Customer 00175",16,20997.51,1312.34,0,0.00
176,"Customer 00176",14,15484.04,1106.00,1,7.14
177,"Customer 00177",7,8642.55,1234.65,1,14.29
178,"Customer 00178",16,18838.25,1177.39,0,0.00
179,"Customer 00179",10,6386.47,638.65,0,0.00
180,"Customer 00180",11,9488.46,862.59,0,0.00
181,"Customer 00181",6,6033.30,1005.55,0,0.00
182,"Customer 00182",7,7015.96,1002.28,1,14.29
183,"Customer 00183",9,13565.31,1507.26,1,11.11
184,"Customer 00184",6,11369.21,1894.87,2,33.33
185,"Customer 00185",10,13099.84,1309.98,2,20.00
186,"Customer 00186",7,4776.80,682.40,0,0.00
187,"Customer 00187",11,7901.46,718.31,0,0.00
188,"Customer 00188",10,6919.15,691.92,2,20.00
189,"Customer 00189",13,23248.37,1788.34,1,7.69
190,"Customer 00190",16,16946.64,1059.17,2,12.50
191,"Customer 00191",10,8022.65,802.27,1,10.00
192,"Customer 00192",10,15191.87,1519.19,2,20.00
193,"Customer 00193",6,9839.92,1639.99,0,0.00
194,"Customer 00194",13,13789.77,1060.75,1,7.69
195,"Customer 00195",5,4224.41,844.88,0,0.00
196,"Customer 00196",13,23892.19,1837.86,2,15.38
197,"Customer 00197",13,15087.91,1160.61,0,0.00
198,"Customer 00198",8,9325.96,1165.75,0,0.00
199,"Customer 00199",12,8371.59,697.63,0,0.00
200,"Customer 00200",8,5855.41,731.93,1,12.50
201,"Customer 00201",12,15757.28,1313.11,0,0.00
202,"Customer 00202",13,12087.06,929.77,2,15.38
203,"Customer 00203",7,6737.49,962.50,0,0.00
204,"Customer 00204",15,12807.22,853.81,2,13.33
205,"Customer 00205",11,13044.00,1185.82,1,9.09
206,"Customer 00206",12,15167.65,1263.97,0,0.00
207,"Customer 00207",17,24823.84,1460.23,2,11.76
208,"Customer 00208",13,16122.20,1240.17,1,7.69
209,"Customer 00209",10,15040.77,1504.08,1,10.00
210,"Customer 00210",10,10534.39,1053.44,1,10.00
211,"Customer 00211",6,9456.52,1576.09,0,0.00
212,"Customer 00212",11,9595.88,872.35,0,0.00
213,"Customer 00213",11,6735.07,612.28,0,0.00
214,"Customer 00214",15,20148.01,1343.20,0,0.00
215,"Customer 00215",5,12832.47,2566.49,0,0.00
216,"Customer 00216",12,15312.00,1276.00,0,0.00
217,"Customer 00217",7,9546.02,1363.72,1,14.29
218,"Customer 00218",11,11088.38,1008.03,0,0.00
219,"Customer 00219",13,17834.00,1371.85,0,0.00
220,"Customer 00220",6,7794.27,1299.05,0,0.00
221,"Customer 00221",20,24787.54,1239.38,3,15.00
222,"Customer 00222",9,9442.92,1049.21,0,0.00
223,"Customer 00223",4,5620.29,1405.07,0,0.00
224,"Customer 00224",10,9400.59,940.06,0,0.00
225,"Customer 00225",8,10961.27,1370.16,0,0.00
226,"Customer 00226",11,10082.84,916.62,1,9.09
227,"Customer 00227",8,6290.86,786.36,0,0.00
228,"Customer 00228",11,17548.84,1595.35,1,9.09
229,"Customer 00229",7,5712.73,816.10,2,28.57
230,"Customer 00230",12,13385.40,1115.45,0,0.00
231,"Customer 00231",5,1167.99,233.60,0,0.00
232,"Customer 00232",4,4989.19,1247.30,1,25.00
233,"Customer 00233",11,18485.58,1680.51,0,0.00
234,"Customer 00234",5,4071.65,814.33,1,20.00
235,"Customer 00235",11,8583.37,780.31,0,0.00
236,"Customer 00236",14,21994.02,1571.00,0,0.00
237,"Customer 00237",4,3068.03,767.01,1,25.00
238,"Customer 00238",6,6613.73,1102.29,1,16.67
239,"Customer 00239",13,13266.04,1020.46,1,7.69
240,"Customer 00240",16,15747.90,984.24,0,0.00
241,"Customer 00241",10,15632.07,1563.21,1,10.00
242,"Customer 00242",8,5184.40,648.05,1,12.50
243,"Customer 00243",9,5690.83,632.31,0,0.00
244,"Customer 00244",12,13515.81,1126.32,1,8.33
245,"Customer 00245",11,22080.51,2007.32,1,9.09
246,"Customer 00246",10,8825.62,882.56,0,0.00
247,"Customer 00247",9,11057.37,1228.60,0,0.00
248,"Customer 00248",9,7199.46,799.94,1,11.11
249,"Customer 00249",8,14640.00,1830.00,0,0.00
250,"Customer 00250",9,13323.50,1480.39,0,0.00
251,"Customer 00251",19,13656.43,718.76,1,5.26
252,"Customer 00252",9,5653.01,628.11,2,22.22
253,"Customer 00253",11,25838.00,2348.91,1,9.09
254,"Customer 00254",7,3964.88,566.41,0,0.00
255,"Customer 00255",14,15557.77,1111.27,0,0.00
256,"Customer 00256",17,15656.07,920.95,2,11.76
257,"Customer 00257",13,8426.14,648.16,2,15.38
258,"Customer 00258",3,3597.84,1199.28,0,0.00
259,"Customer 00259",5,3021.32,604.26,0,0.00
260,"Customer 00260",8,8910.81,1113.85,1,12.50
261,"Customer 00261",9,13832.73,1536.97,0,0.00
262,"Customer 00262",12,16922.88,1410.24,1,8.33
263,"Customer 00263",6,4634.90,772.48,0,0.00
264,"Customer 00264",8,7494.63,936.83,0,0.00
265,"Customer 00265",9,12577.71,1397.52,1,11.11
266,"Customer 00266",8,10716.12,1339.52,0,0.00
267,"Customer 00267",10,10536.94,1053.69,1,10.00
268,"Customer 00268",7,8943.91,1277.70,0,0.00
269,"Customer 00269",10,19112.98,1911.30,1,10.00
270,"Customer 00270",5,3435.98,687.20,1,20.00
271,"Customer 00271",9,6436.90,715.21,0,0.00
272,"Customer 00272",15,10663.55,710.90,0,0.00
273,"Customer 00273",12,10287.22,857.27,0,0.00
274,"Customer 00274",13,11584.64,891.13,0,0.00
275,"Customer 00275",9,9530.34,1058.93,0,0.00
276,"Customer 00276",9,15728.27,1747.59,0,0.00
277,"Customer 00277",9,11268.40,1252.04,1,11.11
278,"Customer 00278",11,11995.24,1090.48,0,0.00
279,"Customer 00279",9,14598.28,1622.03,1,11.11
280,"Customer 00280",7,10441.82,1491.69,0,0.00
281,"Customer 00281",9,9602.49,1066.94,0,0.00
282,"Customer 00282",12,16856.12,1404.68,1,8.33
283,"Customer 00283",7,7463.46,1066.21,0,0.00
284,"Customer 00284",13,13121.15,1009.32,1,7.69
285,"Customer 00285",4,6605.72,1651.43,0,0.00
286,"Customer 00286",10,19281.26,1928.13,1,10.00
287,"Customer 00287",11,9435.44,857.77,0,0.00
288,"Customer 00288",8,9000.36,1125.05,1,12.50
289,"Customer 00289",4,3306.06,826.52,0,0.00
290,"Customer 00290",6,8513.10,1418.85,0,0.00
291,"Customer 00291",9,12325.12,1369.46,1,11.11
292,"Customer 00292",11,10701.47,972.86,2,18.18
293,"Customer 00293",6,3167.83,527.97,0,0.00
294,"Customer 00294",9,16541.58,1837.95,0,0.00
295,"Customer 00295",12,13709.28,1142.44,2,16.67
296,"Customer 00296",6,6213.15,1035.53,0,0.00
297,"Customer 00297",9,6730.16,747.80,0,0.00
298,"Customer 00298",6,8900.31,1483.39,0,0.00
299,"Customer 00299",11,10852.47,986.59,2,18.18
300,"Customer 00300",13,13670.63,1051.59,1,7.69
301,"Customer 00301",16,14077.52,879.85,1,6.25
302,"Customer 00302",12,11955.28,996.27,0,0.00
303,"Customer 00303",11,9847.22,895.20,1,9.09
304,"Customer 00304",12,13083.11,1090.26,1,8.33
305,"Customer 00305",6,6434.22,1072.37,0,0.00
306,"Customer 00306",13,12686.64,975.90,1,7.69
307,"Customer 00307",3,1894.69,631.56,0,0.00
308,"Customer 00308",7,3815.64,545.09,0,0.00
309,"Customer 00309",17,14963.28,880.19,2,11.76
310,"Customer 00310",4,6430.22,1607.56,0,0.00
311,"Customer 00311",10,9697.03,969.70,0,0.00
312,"Customer 00312",16,18560.37,1160.02,2,12.50
313,"Customer 00313",11,14049.73,1277.25,0,0.00
314,"Customer 00314",17,10265.61,603.86,1,5.88
315,"Customer 00315",7,5044.95,720.71,1,14.29
316,"Customer 00316",4,3621.46,905.37,1,25.00
317,"Customer 00317",17,26365.76,1550.93,0,0.00
318,"Customer 00318",16,20452.11,1278.26,2,12.50
319,"Customer 00319",11,11356.59,1032.42,1,9.09
320,"Customer 00320",9,10606.26,1178.47,0,0.00
321,"Customer 00321",11,12219.12,1110.83,1,9.09
322,"Customer 00322",7,7983.51,1140.50,1,14.29
323,"Customer 00323",5,12598.17,2519.63,1,20.00
324,"Customer 00324",7,13585.18,1940.74,0,0.00
325,"Customer 00325",9,8934.87,992.76,0,0.00
326,"Customer 00326",6,3898.63,649.77,1,16.67
327,"Customer 00327",12,11620.15,968.35,0,0.00
328,"Customer 00328",3,2621.61,873.87,0,0.00
329,"Customer 00329",9,10319.67,1146.63,0,0.00
330,"Customer 00330",10,6961.43,696.14,1,10.00
331,"Customer 00331",6,4528.46,754.74,0,0.00
332,"Customer 00332",8,9141.04,1142.63,0,0.00
333,"Customer 00333",8,8140.00,1017.50,0,0.00
334,"Customer 00334",6,6282.73,1047.12,0,0.00
335,"Customer 00335",8,11987.47,1498.43,0,0.00
336,"Customer 00336",11,12692.46,1153.86,0,0.00
337,"Customer 00337",8,7757.84,969.73,1,12.50
338,"Customer 00338",15,21698.47,1446.56,0,0.00
339,"Customer 00339",7,10109.46,1444.21,0,0.00
340,"Customer 00340",11,23156.07,2105.10,0,0.00
341,"Customer 00341",12,12225.91,1018.83,0,0.00
342,"Customer 00342",14,13553.86,968.13,0,0.00
343,"Customer 00343",14,18121.34,1294.38,0,0.00
344,"Customer 00344",5,5762.86,1152.57,0,0.00
345,"Customer 00345",8,5683.53,710.44,0,0.00
346,"Customer 00346",15,16951.91,1130.13,2,13.33
347,"Customer 00347",8,16919.49,2114.94,0,0.00
348,"Customer 00348",10,16107.63,1610.76,0,0.00
349,"Customer 00349",16,10418.02,651.13,1,6.25
350,"Customer 00350",9,9765.04,1085.00,0,0.00
351,"Customer 00351",11,17591.43,1599.22,0,0.00
352,"Customer 00352",6,2784.93,464.16,0,0.00
353,"Customer 00353",11,16777.56,1525.23,0,0.00
