"order_month","order_count","total_revenue","avg_order_value"
"2024-01-01 00:00:00-06",2170,2522568.59,1162.47
"2024-02-01 00:00:00-06",1935,2327140.18,1202.66
"2024-03-01 00:00:00-06",2091,2444246.67,1168.94
"2024-04-01 00:00:00-05",2038,2358940.72,1157.48
"2024-05-01 00:00:00-05",2085,2366393.96,1134.96
"2024-06-01 00:00:00-05",2124,2402797.77,1131.26
"2024-07-01 00:00:00-05",2079,2436361.65,1171.89
"2024-08-01 00:00:00-05",2111,2385464.75,1130.02
"2024-09-01 00:00:00-05",2069,2352951.83,1137.24
"2024-10-01 00:00:00-05",2112,2372912.36,1123.54
"2024-11-01 00:00:00-05",2014,2330112.83,1156.96
"2024-12-01 00:00:00-06",2105,2474331.70,1175.45
"2025-01-01 00:00:00-06",2148,2497401.83,1162.66
"2025-02-01 00:00:00-06",1851,2195792.05,1186.27
"2025-03-01 00:00:00-06",2110,2523681.14,1196.06
"2025-04-01 00:00:00-05",2069,2414141.75,1166.82
"2025-05-01 00:00:00-05",2241,2494718.70,1113.22
"2025-06-01 00:00:00-05",2044,2350417.56,1149.91
"2025-07-01 00:00:00-05",2151,2517293.85,1170.29
"2025-08-01 00:00:00-05",2099,2463223.87,1173.52
"2025-09-01 00:00:00-05",2037,2315535.74,1136.74
"2025-10-01 00:00:00-05",2067,2310624.69,1117.86
"2025-11-01 00:00:00-05",2079,2466515.14,1186.39
"2025-12-01 00:00:00-06",2171,2448603.11,1127.87
